date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:15	78843/78843	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:10%20GMT	https://www.goldenaesthetics.in/before-after	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/before-after.html	(from )
22:43:17	37/37	---M--	200	added ('OK')	text/plain	etag:%223e81146-25-5c4e6f802ab80%22	https://www.goldenaesthetics.in/robots.txt		(from )
22:43:17	565/565	---M--	200	added ('OK')	image/png	etag:%223e81143-235-5ce154466ea29%22	https://www.goldenaesthetics.in/images/Favicon.png	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/images/Favicon.png	(from https://www.goldenaesthetics.in/before-after)
22:43:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2026%20Dec%202023%2017:13:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/goldenaesthetics_before_after/www.googletagmanager.com/gtm.25445.delayed	(from https://www.goldenaesthetics.in/before-after)
22:43:19	154875/154875	---M-Z	200	added ('OK')	text/css	etag:W/%2225cfb-UcVSpq1X1XvRNJScPVMSiB9RqJM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta3/dist/css/bootstrap.min.css	D:/goldenaesthetics_before_after/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta3/dist/css/bootstrap.min.css	(from https://www.goldenaesthetics.in/before-after)
22:43:20	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/goldenaesthetics_before_after/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.goldenaesthetics.in/before-after)
22:43:21	54/54	---MCZ	302	error ('Found')	text/plain	date:Tue,%2026%20Dec%202023%2017:13:18%20GMT	https://unpkg.com/swiper/swiper-bundle.css	D:/goldenaesthetics_before_after/unpkg.com/swiper/swiper-bundle.5.delayed	(from https://www.goldenaesthetics.in/before-after)
22:43:21	22821/22821	---MCZ	200	added ('OK')	text/css	etag:%225925-2mnKuEeLvJi9P4zTp1uMqZ6i/zE%22	https://unpkg.com/swiper@11.0.5/swiper-bundle.css	D:/goldenaesthetics_before_after/unpkg.com/swiper@11.0.5/swiper-bundle.css	(from https://www.goldenaesthetics.in/before-after)
22:43:22	75543/75543	---M-Z	200	added ('OK')	text/css	etag:%223ee1fc6-12717-5d0565908d083-gzip%22	https://www.goldenaesthetics.in/css/style.css	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/css/style.css	(from https://www.goldenaesthetics.in/before-after)
22:43:22	20309/20309	---M-Z	200	added ('OK')	text/css	etag:%223ee0664-4f55-5bd9836b40780-gzip%22	https://www.goldenaesthetics.in/venobox/venobox.css	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/venobox/venobox.css	(from https://www.goldenaesthetics.in/before-after)
22:43:23	3612/3612	---M--	200	added ('OK')	image/png	etag:%223e80957-e1c-5ce13c0412637%22	https://www.goldenaesthetics.in/logo/golden.png	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/logo/golden.png	(from https://www.goldenaesthetics.in/before-after)
22:43:23	9933/9933	---M--	200	added ('OK')	image/png	etag:%223ee04f1-26cd-5c17fa7b1ad80%22	https://www.goldenaesthetics.in/images/logo.png	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/images/logo.png	(from https://www.goldenaesthetics.in/before-after)
22:43:24	69636/69636	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:21%20GMT	https://www.goldenaesthetics.in/about-us	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/about-us.html	(from https://www.goldenaesthetics.in/before-after)
22:43:25	119505/119505	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:21%20GMT	https://www.goldenaesthetics.in/	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/index.html	(from https://www.goldenaesthetics.in/before-after)
22:43:25	76252/76252	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:21%20GMT	https://www.goldenaesthetics.in/service	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/service.html	(from https://www.goldenaesthetics.in/before-after)
22:43:25	62611/62611	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:22%20GMT	https://www.goldenaesthetics.in/services_detail/best-hair-transplant-clinic-in-punjab	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/services_detail/best-hair-transplant-clinic-in-punjab.html	(from https://www.goldenaesthetics.in/before-after)
22:43:26	64668/64668	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:23%20GMT	https://www.goldenaesthetics.in/services_detail/beard-transplant-in-india	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/services_detail/beard-transplant-in-india.html	(from https://www.goldenaesthetics.in/before-after)
22:43:26	65959/65959	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:23%20GMT	https://www.goldenaesthetics.in/services_detail/eyebrow-transplant-in-india	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/services_detail/eyebrow-transplant-in-india.html	(from https://www.goldenaesthetics.in/before-after)
22:43:27	65134/65134	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:24%20GMT	https://www.goldenaesthetics.in/services_detail/hair-transplant-for-women-in-india	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/services_detail/hair-transplant-for-women-in-india.html	(from https://www.goldenaesthetics.in/before-after)
22:43:27	65149/65149	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2017:13:24%20GMT	https://www.goldenaesthetics.in/services_detail/hair-transplant-for-mens	D:/goldenaesthetics_before_after/www.goldenaesthetics.in/services_detail/hair-transplant-for-mens.html	(from https://www.goldenaesthetics.in/before-after)
